# Table S2. List of the probable timing errors,,,,,,,,,,
# Station code,Pair ID,CC,dt residual (s),dt measurement (s),Correction for instrument change (s),Prediction from relative relocation (s),"""Timing quality"" of the earlier event","""Timing quality"" of the later event","""GSN timing"" of the earlier event","""GSN timing"" of the later event"
CI.CWC,1996361_2010306,0.951,-0.0327,6.161,0,6.1937,79.8294,N/A,N/A,N/A
CI.CWC,1997098_2014171,0.991,0.3886,2.018,0,1.6294,23.6551,N/A,N/A,N/A
CI.CWC,1997128_2011122,0.919,0.1348,1.834,0,1.6992,71.2989,N/A,N/A,N/A
CI.CWC,1999249_2014116,0.904,0.0370,1.523,0,1.4860,90.2381,N/A,N/A,N/A
CI.CWC,2007087_2016287,0.966,0.0473,-0.564,0,-0.6113,N/A,99.8141,N/A,N/A
CI.CWC,2012319_2016348,0.978,0.0540,3.190,0,3.1360,N/A,99.816,N/A,N/A
CI.DAN,2000050_2010054,0.922,0.0332,-1.997,-0.01,-2.0202,87.1782,N/A,N/A,N/A
CI.DGR,1994304_2000278,0.900,-0.0679,-0.286,0,-0.2181,N/A,89.9582,N/A,N/A
CI.GLA,2000278_2006013,0.915,0.0492,2.215,0,2.1658,90.1394,N/A,N/A,N/A
CI.GMR,2008006_2013234,0.939,0.0311,-4.123,0,-4.1542,N/A,N/A,N/A,N/A
CI.GSC,1994217_2011170,0.927,0.0490,0.099,0,0.0500,N/A,N/A,N/A,N/A
CI.GSC,1994277_2002248,0.953,0.0388,-2.537,0,-2.5758,N/A,N/A,N/A,N/A
CI.GSC,1994277_2017312,0.945,0.0584,-2.345,0,-2.4034,N/A,99.9326,N/A,N/A
CI.GSC,1995230_2007044,0.901,0.0916,-1.768,0,-1.8596,N/A,N/A,N/A,N/A
CI.GSC,1996065_2005249,0.922,0.0496,-1.360,0,-1.4096,N/A,N/A,N/A,N/A
CI.GSC,1996276_2010227,0.986,0.0884,-2.499,0,-2.5874,N/A,N/A,N/A,N/A
CI.GSC,1996361_2010306,0.952,0.0653,6.259,0,6.1937,N/A,N/A,N/A,N/A
